epoch;accuracy;loss;val_accuracy;val_loss
0;0.3016666769981384;1.0999040603637695;0.3333333432674408;1.0986167192459106
1;0.30666667222976685;1.0992201566696167;0.3333333432674408;1.098617672920227
2;0.3016666769981384;1.099261999130249;0.3333333432674408;1.0986188650131226
3;0.2933333218097687;1.0991390943527222;0.3333333432674408;1.0986162424087524
4;0.3033333420753479;1.0992019176483154;0.3333333432674408;1.0986179113388062
5;0.2966666519641876;1.0992159843444824;0.3333333432674408;1.0986131429672241
6;0.3050000071525574;1.0992218255996704;0.3333333432674408;1.0986257791519165
7;0.3050000071525574;1.099138617515564;0.3333333432674408;1.098633050918579
8;0.3100000023841858;1.0993311405181885;0.3333333432674408;1.0986177921295166
9;0.2983333468437195;1.0992664098739624;0.3333333432674408;1.0986124277114868
10;0.3283333480358124;1.099639892578125;0.3333333432674408;1.0984619855880737
11;0.3199999928474426;1.0993300676345825;0.3333333432674408;1.0972867012023926
12;0.35333332419395447;1.096932053565979;0.5333333611488342;1.0569590330123901
13;0.40833333134651184;1.0617557764053345;0.46666666865348816;0.9965508580207825
14;0.4983333349227905;1.016221523284912;0.46666666865348816;0.9586715698242188
15;0.5199999809265137;0.9649777412414551;0.6333333253860474;0.8838925957679749
16;0.5433333516120911;0.9626713991165161;0.6333333253860474;0.7837313413619995
17;0.5583333373069763;0.9317800998687744;0.6333333253860474;0.8121165633201599
18;0.5716666579246521;0.8988080620765686;0.699999988079071;0.788506269454956
19;0.6133333444595337;0.8470682501792908;0.699999988079071;0.7795374393463135
20;0.6566666960716248;0.8232534527778625;0.6333333253860474;0.8688635230064392
21;0.6683333516120911;0.7736367583274841;0.6666666865348816;0.7729231715202332
22;0.6833333373069763;0.7375450730323792;0.7666666507720947;0.7827430963516235
23;0.675000011920929;0.7584944367408752;0.800000011920929;0.8052288889884949
24;0.699999988079071;0.7353188991546631;0.800000011920929;0.7146453857421875
